address,version,token0,token1,decimals0,decimals1,fee
0x680a025da7b1be2c204d7745e809919bce074026,2,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xdac17f958d2ee523a2206206994597c13d831ec7,18,6,300
0x06da0fd433c1a5d7a4faa01111c044910a184553,2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,18,6,300
0x58dc5a51fe44589beb22e8ce67720b5bc5378009,2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd533a949740bb3306d119cc777fa900ba034cd52,18,18,300
0x95b54c8da12bb23f7a5f6e26c38d04acc6f81820,2,0xaba8cac6866b83ae4eec97dd07ed254282f6ad8a,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,24,18,300
0x611cde65dea90918c0078ac0400a72b0d25b9bb1,2,0x408e41876cccdc0f92210600ef50372656052a38,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,18,300
0x117d4288b3635021a3d612fe05a3cbf5c717fef2,2,0x476c5e26a75bd202a9683ffd34359c0cc15be0ff,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,6,18,300
0xc352e63b7297fcaae115e0758a6e84355181cdaf,2,0x566113069683ce664958a784f18336b4020a1350,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,18,300
0x001b6450083e531a5a7bf310bd2c1af4247e23d4,2,0x04fa0d235c4abf4bcf4787af4cf447de572ef828,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,18,300
0x31503dcb60119a812fee820bb7042752019f2355,2,0xc00e94cb662c3520282e6f5717214004a7f26888,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,18,300
0xa75f7c2f025f470355515482bde9efa8153536a8,2,0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,18,300
0xa1d7b2d891e3a1f9ef4bbc5be20630c2feb1c470,2,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,18,300
0x5e63360e891bd60c69445970256c260b0a6a54c6,2,0x80fb784b7ed66730e8b1dbd9820afd29931aab03,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,18,300
0xf1f85b2c54a2bd284b1cf4141d64fd171bd85539,2,0x57ab1ec28d129707052df4df418d58a2d46d5f51,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,18,300
0xcb2286d9471cc185281c4f763d34a962ed212962,2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd46ba6d942050d489dbd938a2c909a5d5039a161,18,9,300
0xc40d16476380e4037e6b1a2594caf6a6cc8da967,2,0x514910771af9ca656af840dff83e8264ecf986ca,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,18,300
0x088ee5007c98a9677165d78dd2109ae4a3d04d0c,2,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,18,300
0xc3d03e4f041fd4cd388c549ee2a29a9e5075882f,2,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,18,300
0x397ff1542f962076d0bfe58ea045ffa2d347aca0,2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,6,18,300
