address,version,token0,token1,decimals0,decimals1,fee
0x680A025Da7b1be2c204D7745e809919bCE074026,2,0x6B3595068778DD592e39A122f4f5a5cF09C90fE2,0xdAC17F958D2ee523a2206206994597C13D831ec7,18,6,300
0x06da0fd433C1A5d7a4faa01111c044910A184553,2,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdAC17F958D2ee523a2206206994597C13D831ec7,18,6,300
0x58Dc5a51fE44589BEb22E8CE67720B5BC5378009,2,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xD533a949740bb3306d119CC777fa900bA034cd52,18,18,300
0x95b54C8Da12BB23F7A5F6E26C38D04aCC6F81820,2,0xAba8cAc6866B83Ae4eec97DD07ED254282f6aD8A,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,24,18,300
0x611CDe65deA90918c0078ac0400A72B0D25B9bb1,2,0x408e41876cCCDC0F92210600ef50372656052a38,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,300
0x117d4288B3635021a3D612FE05a3Cbf5C717fEf2,2,0x476c5E26a75bd202a9683ffD34359C0CC15be0fF,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,6,18,300
0xC352e63B7297FCaAe115E0758A6e84355181Cdaf,2,0x566113069683Ce664958A784f18336B4020a1350,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,300
0x001b6450083E531A5a7Bf310BD2c1Af4247E23D4,2,0x04Fa0d235C4abf4BcF4787aF4CF447DE572eF828,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,300
0x31503dcb60119A812feE820bb7042752019F2355,2,0xc00e94Cb662C3520282E6f5717214004A7f26888,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,300
0xA75F7c2F025f470355515482BdE9EFA8153536A8,2,0xBA11D00c5f74255f56a5E366F4F77f5A186d7f55,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,300
0xA1d7b2d891e3A1f9ef4bBC5be20630C2FEB1c470,2,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,300
0x5E63360E891BD60C69445970256C260b0A6A54c6,2,0x80fB784B7eD66730e8b1DBd9820aFD29931aab03,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,300
0xF1F85b2C54a2bD284B1cf4141D64fD171Bd85539,2,0x57Ab1ec28D129707052df4dF418D58a2D46d5f51,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,300
0xCb2286d9471cc185281c4f763d34A962ED212962,2,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xD46bA6D942050d489DBd938a2C909A5d5039A161,18,9,300
0xC40D16476380e4037e6b1A2594cAF6a6cc8Da967,2,0x514910771AF9Ca656af840dff83E8264EcF986CA,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,300
0x088ee5007C98a9677165D78dD2109AE4a3D04d0C,2,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,300
0xC3D03e4F041Fd4cD388c549Ee2A29a9E5075882f,2,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,300
